record_id,evaluation_dimension,vbench_prompt_suite,prompt_index,prompt,matching_video_folder
VBENCH-ORIGIN-052,Spatial Relationship,spatial_relationship,52,"an oven on the bottom of a toaster, front view",spatial_relationship
VBENCH-ORIGIN-053,Spatial Relationship,spatial_relationship,53,"a toaster on the top of a microwave, front view",spatial_relationship
VBENCH-ORIGIN-054,Spatial Relationship,spatial_relationship,54,"a toaster on the bottom of a microwave, front view",spatial_relationship
VBENCH-ORIGIN-055,Spatial Relationship,spatial_relationship,55,"a microwave on the top of an oven, front view",spatial_relationship
VBENCH-ORIGIN-056,Spatial Relationship,spatial_relationship,56,"a microwave on the bottom of an oven, front view",spatial_relationship
VBENCH-ORIGIN-057,Spatial Relationship,spatial_relationship,57,"a banana on the top of an apple, front view",spatial_relationship
VBENCH-ORIGIN-058,Spatial Relationship,spatial_relationship,58,"a banana on the bottom of an apple, front view",spatial_relationship
VBENCH-ORIGIN-059,Spatial Relationship,spatial_relationship,59,"an apple on the top of a sandwich, front view",spatial_relationship
VBENCH-ORIGIN-060,Spatial Relationship,spatial_relationship,60,"an apple on the bottom of a sandwich, front view",spatial_relationship
VBENCH-ORIGIN-061,Spatial Relationship,spatial_relationship,61,"a sandwich on the top of an orange, front view",spatial_relationship
VBENCH-ORIGIN-062,Spatial Relationship,spatial_relationship,62,"a sandwich on the bottom of an orange, front view",spatial_relationship
VBENCH-ORIGIN-063,Spatial Relationship,spatial_relationship,63,"an orange on the top of a carrot, front view",spatial_relationship
VBENCH-ORIGIN-064,Spatial Relationship,spatial_relationship,64,"an orange on the bottom of a carrot, front view",spatial_relationship
VBENCH-ORIGIN-065,Spatial Relationship,spatial_relationship,65,"a carrot on the top of a hot dog, front view",spatial_relationship
VBENCH-ORIGIN-066,Spatial Relationship,spatial_relationship,66,"a carrot on the bottom of a hot dog, front view",spatial_relationship
VBENCH-ORIGIN-067,Spatial Relationship,spatial_relationship,67,"a hot dog on the top of a pizza, front view",spatial_relationship
VBENCH-ORIGIN-068,Spatial Relationship,spatial_relationship,68,"a hot dog on the bottom of a pizza, front view",spatial_relationship
VBENCH-ORIGIN-069,Spatial Relationship,spatial_relationship,69,"a pizza on the top of a donut, front view",spatial_relationship
VBENCH-ORIGIN-070,Spatial Relationship,spatial_relationship,70,"a pizza on the bottom of a donut, front view",spatial_relationship
VBENCH-ORIGIN-071,Spatial Relationship,spatial_relationship,71,"a donut on the top of broccoli, front view",spatial_relationship
VBENCH-ORIGIN-072,Spatial Relationship,spatial_relationship,72,"a donut on the bottom of broccoli, front view",spatial_relationship
VBENCH-ORIGIN-073,Spatial Relationship,spatial_relationship,73,"broccoli on the top of a banana, front view",spatial_relationship
VBENCH-ORIGIN-074,Spatial Relationship,spatial_relationship,74,"broccoli on the bottom of a banana, front view",spatial_relationship
VBENCH-ORIGIN-075,Spatial Relationship,spatial_relationship,75,"skis on the top of a snowboard, front view",spatial_relationship
VBENCH-ORIGIN-076,Spatial Relationship,spatial_relationship,76,"skis on the bottom of a snowboard, front view",spatial_relationship
VBENCH-ORIGIN-077,Spatial Relationship,spatial_relationship,77,"a snowboard on the top of a kite, front view",spatial_relationship
VBENCH-ORIGIN-078,Spatial Relationship,spatial_relationship,78,"a snowboard on the bottom of a kite, front view",spatial_relationship
VBENCH-ORIGIN-079,Spatial Relationship,spatial_relationship,79,"a kite on the top of a skateboard, front view",spatial_relationship
VBENCH-ORIGIN-080,Spatial Relationship,spatial_relationship,80,"a kite on the bottom of a skateboard, front view",spatial_relationship
VBENCH-ORIGIN-081,Spatial Relationship,spatial_relationship,81,"a skateboard on the top of a surfboard, front view",spatial_relationship
VBENCH-ORIGIN-082,Spatial Relationship,spatial_relationship,82,"a skateboard on the bottom of a surfboard, front view",spatial_relationship
VBENCH-ORIGIN-083,Spatial Relationship,spatial_relationship,83,"a surfboard on the top of skis, front view",spatial_relationship
VBENCH-ORIGIN-084,Spatial Relationship,spatial_relationship,84,"a surfboard on the bottom of skis, front view",spatial_relationship
VBENCH-ORIGIN-085,Dynamic Degree,subject_consistency,1,a person swimming in ocean,subject_consistency
VBENCH-ORIGIN-086,Dynamic Degree,subject_consistency,2,a person giving a presentation to a room full of colleagues,subject_consistency
VBENCH-ORIGIN-087,Dynamic Degree,subject_consistency,3,a person washing the dishes,subject_consistency
VBENCH-ORIGIN-088,Dynamic Degree,subject_consistency,4,a person eating a burger,subject_consistency
VBENCH-ORIGIN-089,Dynamic Degree,subject_consistency,5,a person walking in the snowstorm,subject_consistency
VBENCH-ORIGIN-090,Dynamic Degree,subject_consistency,6,a person drinking coffee in a cafe,subject_consistency
VBENCH-ORIGIN-091,Dynamic Degree,subject_consistency,7,a person playing guitar,subject_consistency
VBENCH-ORIGIN-092,Dynamic Degree,subject_consistency,8,a bicycle leaning against a tree,subject_consistency
VBENCH-ORIGIN-093,Dynamic Degree,subject_consistency,9,a bicycle gliding through a snowy field,subject_consistency
VBENCH-ORIGIN-094,Dynamic Degree,subject_consistency,10,a bicycle slowing down to stop,subject_consistency
VBENCH-ORIGIN-095,Dynamic Degree,subject_consistency,11,a bicycle accelerating to gain speed,subject_consistency
VBENCH-ORIGIN-096,Dynamic Degree,subject_consistency,12,a car stuck in traffic during rush hour,subject_consistency
VBENCH-ORIGIN-097,Dynamic Degree,subject_consistency,13,a car turning a corner,subject_consistency
VBENCH-ORIGIN-098,Dynamic Degree,subject_consistency,14,a car slowing down to stop,subject_consistency
VBENCH-ORIGIN-099,Dynamic Degree,subject_consistency,15,a car accelerating to gain speed,subject_consistency
VBENCH-ORIGIN-100,Dynamic Degree,subject_consistency,16,a motorcycle cruising along a coastal highway,subject_consistency
VBENCH-ORIGIN-101,Dynamic Degree,subject_consistency,17,a motorcycle turning a corner,subject_consistency
VBENCH-ORIGIN-102,Dynamic Degree,subject_consistency,18,a motorcycle slowing down to stop,subject_consistency
VBENCH-ORIGIN-103,Dynamic Degree,subject_consistency,19,a motorcycle gliding through a snowy field,subject_consistency
VBENCH-ORIGIN-104,Dynamic Degree,subject_consistency,20,a motorcycle accelerating to gain speed,subject_consistency
VBENCH-ORIGIN-105,Dynamic Degree,subject_consistency,21,an airplane soaring through a clear blue sky,subject_consistency
VBENCH-ORIGIN-106,Dynamic Degree,subject_consistency,22,an airplane taking off,subject_consistency
VBENCH-ORIGIN-107,Dynamic Degree,subject_consistency,23,an airplane landing smoothly on a runway,subject_consistency
VBENCH-ORIGIN-108,Dynamic Degree,subject_consistency,24,an airplane accelerating to gain speed,subject_consistency
VBENCH-ORIGIN-109,Dynamic Degree,subject_consistency,25,a bus turning a corner,subject_consistency
VBENCH-ORIGIN-110,Dynamic Degree,subject_consistency,26,a bus stuck in traffic during rush hour,subject_consistency
VBENCH-ORIGIN-111,Dynamic Degree,subject_consistency,27,a bus accelerating to gain speed,subject_consistency
VBENCH-ORIGIN-112,Dynamic Degree,subject_consistency,28,a train speeding down the tracks,subject_consistency
VBENCH-ORIGIN-113,Dynamic Degree,subject_consistency,29,a train crossing over a tall bridge,subject_consistency
VBENCH-ORIGIN-114,Dynamic Degree,subject_consistency,30,a train accelerating to gain speed,subject_consistency
VBENCH-ORIGIN-115,Dynamic Degree,subject_consistency,31,a truck turning a corner,subject_consistency
VBENCH-ORIGIN-116,Dynamic Degree,subject_consistency,32,a truck anchored in a tranquil bay,subject_consistency
VBENCH-ORIGIN-117,Dynamic Degree,subject_consistency,33,a truck stuck in traffic during rush hour,subject_consistency
VBENCH-ORIGIN-118,Dynamic Degree,subject_consistency,34,a truck slowing down to stop,subject_consistency
VBENCH-ORIGIN-119,Dynamic Degree,subject_consistency,35,a truck accelerating to gain speed,subject_consistency
VBENCH-ORIGIN-120,Dynamic Degree,subject_consistency,36,a boat sailing smoothly on a calm lake,subject_consistency
VBENCH-ORIGIN-121,Dynamic Degree,subject_consistency,37,a boat slowing down to stop,subject_consistency
VBENCH-ORIGIN-122,Dynamic Degree,subject_consistency,38,a boat accelerating to gain speed,subject_consistency
VBENCH-ORIGIN-123,Dynamic Degree,subject_consistency,39,a bird soaring gracefully in the sky,subject_consistency
VBENCH-ORIGIN-124,Dynamic Degree,subject_consistency,40,a bird building a nest from twigs and leaves,subject_consistency
VBENCH-ORIGIN-125,Dynamic Degree,subject_consistency,41,a bird flying over a snowy forest,subject_consistency
VBENCH-ORIGIN-126,Dynamic Degree,subject_consistency,42,a cat grooming itself meticulously with its tongue,subject_consistency
VBENCH-ORIGIN-127,Dynamic Degree,subject_consistency,43,a cat playing in park,subject_consistency
VBENCH-ORIGIN-128,Dynamic Degree,subject_consistency,44,a cat drinking water,subject_consistency
VBENCH-ORIGIN-129,Dynamic Degree,subject_consistency,45,a cat running happily,subject_consistency
VBENCH-ORIGIN-130,Dynamic Degree,subject_consistency,46,a dog enjoying a peaceful walk,subject_consistency
VBENCH-ORIGIN-131,Dynamic Degree,subject_consistency,47,a dog playing in park,subject_consistency
VBENCH-ORIGIN-132,Dynamic Degree,subject_consistency,48,a dog drinking water,subject_consistency
VBENCH-ORIGIN-133,Dynamic Degree,subject_consistency,49,a dog running happily,subject_consistency
VBENCH-ORIGIN-134,Dynamic Degree,subject_consistency,50,a horse bending down to drink water from a river,subject_consistency
VBENCH-ORIGIN-135,Dynamic Degree,subject_consistency,51,a horse galloping across an open field,subject_consistency
VBENCH-ORIGIN-136,Dynamic Degree,subject_consistency,52,a horse taking a peaceful walk,subject_consistency
VBENCH-ORIGIN-137,Dynamic Degree,subject_consistency,53,a horse running to join a herd of its kind,subject_consistency
VBENCH-ORIGIN-138,Dynamic Degree,subject_consistency,54,a sheep bending down to drink water from a river,subject_consistency
VBENCH-ORIGIN-139,Dynamic Degree,subject_consistency,55,a sheep taking a peaceful walk,subject_consistency
VBENCH-ORIGIN-140,Dynamic Degree,subject_consistency,56,a sheep running to join a herd of its kind,subject_consistency
VBENCH-ORIGIN-141,Dynamic Degree,subject_consistency,57,a cow bending down to drink water from a river,subject_consistency
VBENCH-ORIGIN-142,Dynamic Degree,subject_consistency,58,a cow chewing cud while resting in a tranquil barn,subject_consistency
VBENCH-ORIGIN-143,Dynamic Degree,subject_consistency,59,a cow running to join a herd of its kind,subject_consistency
VBENCH-ORIGIN-144,Dynamic Degree,subject_consistency,60,an elephant spraying itself with water using its trunk to cool down,subject_consistency
VBENCH-ORIGIN-145,Dynamic Degree,subject_consistency,61,an elephant taking a peaceful walk,subject_consistency
VBENCH-ORIGIN-146,Dynamic Degree,subject_consistency,62,an elephant running to join a herd of its kind,subject_consistency
VBENCH-ORIGIN-147,Dynamic Degree,subject_consistency,63,a bear catching a salmon in its powerful jaws,subject_consistency
VBENCH-ORIGIN-148,Dynamic Degree,subject_consistency,64,a bear sniffing the air for scents of food,subject_consistency
VBENCH-ORIGIN-149,Dynamic Degree,subject_consistency,65,a bear climbing a tree,subject_consistency
VBENCH-ORIGIN-150,Dynamic Degree,subject_consistency,66,a bear hunting for prey,subject_consistency
VBENCH-ORIGIN-151,Dynamic Degree,subject_consistency,67,a zebra bending down to drink water from a river,subject_consistency
VBENCH-ORIGIN-152,Dynamic Degree,subject_consistency,68,a zebra running to join a herd of its kind,subject_consistency
VBENCH-ORIGIN-153,Dynamic Degree,subject_consistency,69,a zebra taking a peaceful walk,subject_consistency
VBENCH-ORIGIN-154,Dynamic Degree,subject_consistency,70,a giraffe bending down to drink water from a river,subject_consistency
VBENCH-ORIGIN-155,Dynamic Degree,subject_consistency,71,a giraffe taking a peaceful walk,subject_consistency
VBENCH-ORIGIN-156,Dynamic Degree,subject_consistency,72,a giraffe running to join a herd of its kind,subject_consistency
VBENCH-ORIGIN-157,Human Action,human_action,1,A person is riding a bike,human_action
VBENCH-ORIGIN-158,Human Action,human_action,2,A person is marching,human_action
VBENCH-ORIGIN-159,Human Action,human_action,3,A person is roller skating,human_action
VBENCH-ORIGIN-160,Human Action,human_action,4,A person is tasting beer,human_action
VBENCH-ORIGIN-161,Human Action,human_action,5,A person is clapping,human_action
VBENCH-ORIGIN-162,Human Action,human_action,6,A person is drawing,human_action
VBENCH-ORIGIN-163,Human Action,human_action,7,A person is petting animal (not cat),human_action
VBENCH-ORIGIN-164,Human Action,human_action,8,A person is eating watermelon,human_action
VBENCH-ORIGIN-165,Human Action,human_action,9,A person is playing harp,human_action
VBENCH-ORIGIN-166,Human Action,human_action,10,A person is wrestling,human_action
VBENCH-ORIGIN-167,Human Action,human_action,11,A person is riding scooter,human_action
VBENCH-ORIGIN-168,Human Action,human_action,12,A person is sweeping floor,human_action
VBENCH-ORIGIN-169,Human Action,human_action,13,A person is skateboarding,human_action
VBENCH-ORIGIN-170,Human Action,human_action,14,A person is dunking basketball,human_action
VBENCH-ORIGIN-171,Human Action,human_action,15,A person is playing flute,human_action
VBENCH-ORIGIN-172,Human Action,human_action,16,A person is stretching leg,human_action
VBENCH-ORIGIN-173,Human Action,human_action,17,A person is tying tie,human_action
VBENCH-ORIGIN-174,Human Action,human_action,18,A person is skydiving,human_action
VBENCH-ORIGIN-175,Human Action,human_action,19,A person is shooting goal (soccer),human_action
VBENCH-ORIGIN-176,Human Action,human_action,20,A person is playing piano,human_action
VBENCH-ORIGIN-177,Human Action,human_action,21,A person is finger snapping,human_action
VBENCH-ORIGIN-178,Human Action,human_action,22,A person is canoeing or kayaking,human_action
VBENCH-ORIGIN-179,Human Action,human_action,23,A person is laughing,human_action
VBENCH-ORIGIN-180,Human Action,human_action,24,A person is digging,human_action
VBENCH-ORIGIN-181,Human Action,human_action,25,A person is clay pottery making,human_action
VBENCH-ORIGIN-182,Human Action,human_action,26,A person is shooting basketball,human_action
VBENCH-ORIGIN-183,Human Action,human_action,27,A person is bending back,human_action
VBENCH-ORIGIN-184,Human Action,human_action,28,A person is shaking hands,human_action
VBENCH-ORIGIN-185,Human Action,human_action,29,A person is bandaging,human_action
VBENCH-ORIGIN-186,Human Action,human_action,30,A person is push up,human_action
VBENCH-ORIGIN-187,Human Action,human_action,31,A person is catching or throwing frisbee,human_action
VBENCH-ORIGIN-188,Human Action,human_action,32,A person is playing trumpet,human_action
VBENCH-ORIGIN-189,Human Action,human_action,33,A person is flying kite,human_action
VBENCH-ORIGIN-190,Human Action,human_action,34,A person is filling eyebrows,human_action
VBENCH-ORIGIN-191,Human Action,human_action,35,A person is shuffling cards,human_action
VBENCH-ORIGIN-192,Human Action,human_action,36,A person is folding clothes,human_action
VBENCH-ORIGIN-193,Human Action,human_action,37,A person is smoking,human_action
VBENCH-ORIGIN-194,Human Action,human_action,38,A person is tai chi,human_action
VBENCH-ORIGIN-195,Human Action,human_action,39,A person is squat,human_action
VBENCH-ORIGIN-196,Human Action,human_action,40,A person is playing controller,human_action
VBENCH-ORIGIN-197,Human Action,human_action,41,A person is throwing axe,human_action
VBENCH-ORIGIN-198,Human Action,human_action,42,A person is giving or receiving award,human_action
VBENCH-ORIGIN-199,Human Action,human_action,43,A person is air drumming,human_action
VBENCH-ORIGIN-200,Human Action,human_action,44,A person is taking a shower,human_action
VBENCH-ORIGIN-201,Human Action,human_action,45,A person is planting trees,human_action
VBENCH-ORIGIN-202,Human Action,human_action,46,A person is sharpening knives,human_action
VBENCH-ORIGIN-203,Human Action,human_action,47,A person is robot dancing,human_action
VBENCH-ORIGIN-204,Human Action,human_action,48,A person is rock climbing,human_action
VBENCH-ORIGIN-205,Human Action,human_action,49,A person is hula hooping,human_action
VBENCH-ORIGIN-206,Human Action,human_action,50,A person is writing,human_action
VBENCH-ORIGIN-207,Human Action,human_action,51,A person is bungee jumping,human_action
VBENCH-ORIGIN-208,Human Action,human_action,52,A person is pushing cart,human_action
VBENCH-ORIGIN-209,Human Action,human_action,53,A person is cleaning windows,human_action
VBENCH-ORIGIN-210,Human Action,human_action,54,A person is cutting watermelon,human_action
VBENCH-ORIGIN-211,Human Action,human_action,55,A person is cheerleading,human_action
VBENCH-ORIGIN-212,Human Action,human_action,56,A person is washing hands,human_action
VBENCH-ORIGIN-213,Human Action,human_action,57,A person is ironing,human_action
VBENCH-ORIGIN-214,Human Action,human_action,58,A person is cutting nails,human_action
VBENCH-ORIGIN-215,Human Action,human_action,59,A person is hugging,human_action
VBENCH-ORIGIN-216,Human Action,human_action,60,A person is trimming or shaving beard,human_action
VBENCH-ORIGIN-217,Human Action,human_action,61,A person is jogging,human_action
VBENCH-ORIGIN-218,Human Action,human_action,62,A person is making bed,human_action
VBENCH-ORIGIN-219,Human Action,human_action,63,A person is washing dishes,human_action
VBENCH-ORIGIN-220,Human Action,human_action,64,A person is grooming dog,human_action
VBENCH-ORIGIN-221,Human Action,human_action,65,A person is doing laundry,human_action
VBENCH-ORIGIN-222,Human Action,human_action,66,A person is knitting,human_action
VBENCH-ORIGIN-223,Human Action,human_action,67,A person is reading book,human_action
VBENCH-ORIGIN-224,Human Action,human_action,68,A person is baby waking up,human_action
VBENCH-ORIGIN-225,Human Action,human_action,69,A person is massaging legs,human_action
VBENCH-ORIGIN-226,Human Action,human_action,70,A person is brushing teeth,human_action
VBENCH-ORIGIN-227,Human Action,human_action,71,A person is crawling baby,human_action
VBENCH-ORIGIN-228,Human Action,human_action,72,A person is motorcycling,human_action
VBENCH-ORIGIN-229,Human Action,human_action,73,A person is driving car,human_action
VBENCH-ORIGIN-230,Human Action,human_action,74,A person is sticking tongue out,human_action
VBENCH-ORIGIN-231,Human Action,human_action,75,A person is shaking head,human_action
VBENCH-ORIGIN-232,Human Action,human_action,76,A person is sword fighting,human_action
VBENCH-ORIGIN-233,Human Action,human_action,77,A person is doing aerobics,human_action
VBENCH-ORIGIN-234,Human Action,human_action,78,A person is strumming guitar,human_action
VBENCH-ORIGIN-235,Human Action,human_action,79,A person is riding or walking with horse,human_action
VBENCH-ORIGIN-236,Human Action,human_action,80,A person is archery,human_action
VBENCH-ORIGIN-237,Human Action,human_action,81,A person is catching or throwing baseball,human_action
VBENCH-ORIGIN-238,Human Action,human_action,82,A person is playing chess,human_action
VBENCH-ORIGIN-239,Human Action,human_action,83,A person is rock scissors paper,human_action
VBENCH-ORIGIN-240,Human Action,human_action,84,A person is using computer,human_action
VBENCH-ORIGIN-241,Human Action,human_action,85,A person is arranging flowers,human_action
VBENCH-ORIGIN-242,Human Action,human_action,86,A person is bending metal,human_action
VBENCH-ORIGIN-243,Human Action,human_action,87,A person is ice skating,human_action
VBENCH-ORIGIN-244,Human Action,human_action,88,A person is climbing a rope,human_action
VBENCH-ORIGIN-245,Human Action,human_action,89,A person is crying,human_action
VBENCH-ORIGIN-246,Human Action,human_action,90,A person is dancing ballet,human_action
VBENCH-ORIGIN-247,Human Action,human_action,91,A person is getting a haircut,human_action
VBENCH-ORIGIN-248,Human Action,human_action,92,A person is running on treadmill,human_action
VBENCH-ORIGIN-249,Human Action,human_action,93,A person is kissing,human_action
VBENCH-ORIGIN-250,Human Action,human_action,94,A person is counting money,human_action
VBENCH-ORIGIN-251,Human Action,human_action,95,A person is barbequing,human_action
VBENCH-ORIGIN-252,Human Action,human_action,96,A person is peeling apples,human_action
VBENCH-ORIGIN-253,Human Action,human_action,97,A person is milking cow,human_action
VBENCH-ORIGIN-254,Human Action,human_action,98,A person is shining shoes,human_action
VBENCH-ORIGIN-255,Human Action,human_action,99,A person is making snowman,human_action
VBENCH-ORIGIN-256,Human Action,human_action,100,A person is sailing,human_action
